GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lab15 Starter,lab,StringUtils,5,9,1,1,2,2,2,1,1,1
Lab15 Starter,lab,Calculator,0,26,0,2,0,7,0,6,0,5
